Idanimal	NParto	SexoCria	MesP	AnoP	Ppartomadre	Pdestetemadre	Raza	IEP
48051  2 H 10 2009 567 627 Ceb  407
48051  3 M 11 2010 559 564 Ceb  405
48051  4 H 12 2011 557 608 Ceb  398
48051  5 M  1 2013 600 674 Ceb NA
49061  1 M  3 2009 482 484 Ceb  523
49061  2 M  8 2010 561 528 Ceb NA
49362  1 H 11 2008 NA NA Ceb  638
49362  2 H  8 2010 376 337 Ceb NA
49462  1 M 12 2009 532 525 Ceb NA
49462  4 H  5 2014 670 652 Ceb  418
49462  5 M  7 2015 645 NA Ceb NA
49963  1 H  3 2009 408 368 Ceb NA
49963  3 H  3 2012 562 513 Ceb  428
49963  4 M  5 2013 550 571 Ceb  347
49963  5 M  5 2014 532 591 Ceb NA
50864  1 M 11 2010 519 379 Ceb NA
52081  2 H  9 2012 460 472 Ceb  478
52081  3 H  1 2014 517 519 Ceb  456
52081  4 H  4 2015 535 NA Ceb NA
52282  2 H  4 2013 503 NA Ceb NA
52382  2 H  7 2013 555 571 Ceb  394
52382  3 M  8 2014 504 541 Ceb NA
52583  1 M 12 2011 540 534 Ceb  433
52583  2 M  2 2013 566 591 Ceb NA
52583  4 M  4 2015 584 NA Ceb NA
52683  1 M  1 2012 467 NA Ceb NA
52683  3 H  3 2014 500 500 Ceb NA
52783  1 M  2 2012 423 466 Ceb NA
52783  3 H  5 2014 492 512 Ceb  305
52783  4 A  3 2015 NA NA Ceb NA
52883  1 M 11 2011 460 NA Ceb NA
52984  1 H 11 2011 510 NA Ceb NA
53084  1 H  1 2013 568 484 Ceb  556
53084  2 M  7 2014 542 NA Ceb NA
53184  1 H 12 2011 490 NA Ceb NA
53384  3 H  9 2014 586 585 Ceb NA
53484  1 H 11 2012 505 505 Ceb  366
53484  2 M 11 2013 580 483 Ceb NA
53584  1 A 11 2011 465 NA Ceb  345
53584  2 M 11 2012 533 539 Ceb  419
53584  3 H 12 2013 538 561 Ceb  475
53584  4 M  4 2015 NA NA Ceb NA
53691  1 M  7 2012 503 452 Ceb  345
53691  3 H  2 2015 540 NA Ceb NA
53791  1 H  1 2012 423 445 Ceb  568
53791  2 M  7 2013 550 538 Ceb NA
53892  1 M  4 2012 426 NA Ceb NA
54101  2 M  4 2015 540 NA Ceb NA
54614  1 H 10 2014 495 395 Ceb NA
54714  1 H 12 2014 448 457 Ceb NA
54814  1 M  9 2014 509 462 Ceb NA
54914  1 M  6 2015 499 NA Ceb NA
55021  1 M  8 2014 507 511 Ceb NA
55121  1 H 11 2014 500 497 Ceb NA
97730  1 M  9 1999 390 NA Bon  558
97730  2 H  4 2001 NA NA Bon  534
97730  3 H  9 2002 NA NA Bon  872
97730  4 H  2 2005 455 405 Bon  566
97730  5 H  8 2006 404 NA Bon  420
97730  6 M 10 2007 400 NA Bon NA
97748  1 H  3 2000 397 NA Bon  668
97748  2 M  1 2002 NA NA Bon  453
97748  3 H  4 2003 NA NA Bon  366
97748  4 H  4 2004 NA NA Bon  336
97748  5 M  3 2005 NA NA Bon  542
97748  6 H  9 2006 415 369 Bon  556
97748  7 H  3 2008 440 NA Bon NA
98762  1 H  4 2001 NA NA Bon  395
98762  2 H  5 2002 NA NA Bon  474
98762  3 M  8 2003 NA NA Bon  538
98762  4 H  2 2005 NA NA Bon  591
98762  5 M  9 2006 NA NA Bon  370
98762  6 H  9 2007 NA NA Bon NA
